image_name,roi_num,r_chlorophyll_a_max,r_chlorophyll_a_min,r_chlorophyll_a_mean,r_chlorophyll_a_exp,g_fitc_max,g_fitc_min,g_fitc_mean,g_fitc_exp,b_dapi_max,b_dapi_min,b_dapi_mean,b_dapi_exp,area,centroid_1,centroid_2,major_length,minor_length,perimeter
CaseStudy2.czi,1,7047,2848,5674.738372,37.088,1454,604,1017.383721,1209.493,1812,563,930.5732558,450,860,14.49418605,987.2790698,37.87582352,29.67569192,109.58
CaseStudy2.czi,2,8355,2552,6476.121927,37.088,2622,698,1489.653884,1209.493,3412,526,998.5624385,450,1017,16.2605703,1649.033432,47.44857482,27.87068925,119.538
CaseStudy2.czi,3,3548,157,813.0309792,37.088,7164,1554,4765.354785,1209.493,9685,448,2293.516319,450,5423,56.9964964,1675.589342,113.3692131,62.18181724,296.279
CaseStudy2.czi,4,6737,2570,5403.660643,37.088,1669,660,1116.788153,1209.493,2242,511,876.0210843,450,996,39.01807229,1253.043173,43.21332174,29.58283383,113.542
CaseStudy2.czi,5,6882,3382,5375.379447,37.088,1987,634,1182.322134,1209.493,3535,533,959.020751,450,1012,48.15217391,1904.117589,41.21543713,31.34575473,112.714
CaseStudy2.czi,6,7925,2207,6068.680806,37.088,2304,654,1178.652174,1209.493,1991,538,879.9777306,450,943,61.79109226,1623.937434,40.26829367,29.95905961,110.473
CaseStudy2.czi,7,8019,2740,6355.360571,37.088,3655,626,1397.472114,1209.493,2353,636,973.5239948,450,771,86.77561608,1710.745785,38.49199517,25.71020048,100.963
CaseStudy2.czi,8,6716,2230,5358.747253,37.088,1431,635,1021.650183,1209.493,2186,607,997.1080586,450,546,97.56776557,1291.679487,29.51468366,23.73050809,81.883
CaseStudy2.czi,9,6805,2303,5384.945896,37.088,3417,716,1296.473881,1209.493,1882,613,925.1324627,450,536,107.3432836,1694.402985,30.56800266,22.6080365,83.389
CaseStudy2.czi,10,7538,2741,5657.24058,37.088,1674,635,1149.827536,1209.493,3093,631,1056.515942,450,690,114.9173913,915.5521739,32.85152158,26.85805696,92.643
CaseStudy2.czi,11,6813,2649,5607.104457,37.088,1440,616,1042.016713,1209.493,1857,569,927.2869081,450,718,122.5111421,1291.185237,36.46208105,25.5003962,96.877
CaseStudy2.czi,12,7025,2799,5824.364162,37.088,1938,531,1135.776493,1209.493,4364,515,891.0693642,450,1038,130.4421965,997.0510597,41.8955123,31.61047193,115.196
CaseStudy2.czi,13,6728,1872,5280.149522,37.088,2088,641,1118.119617,1209.493,2932,511,869.7607656,450,836,138.2643541,621.1985646,32.94003386,32.4098469,100.342
CaseStudy2.czi,14,7247,2624,5766.025758,37.088,1590,552,1078.278788,1209.493,2507,633,1081.989394,450,660,161.9984848,996.6590909,36.38417023,23.28855638,93.28
CaseStudy2.czi,15,7086,3028,5569.634172,37.088,1547,602,1020.133124,1209.493,2351,574,903.4528302,450,954,213.6928721,826.5639413,42.5002579,28.66290682,110.771
CaseStudy2.czi,16,7108,2847,5721.866856,37.088,1478,608,1030.655807,1209.493,1782,527,876.223796,450,706,227.2308782,1356.905099,33.75684165,26.8202126,94.644
CaseStudy2.czi,17,6897,2828,5421.713911,37.088,1913,549,1144.362205,1209.493,3416,658,1116.643045,450,762,248.5393701,2102.832021,39.23838159,24.81679147,101.261
CaseStudy2.czi,18,7078,2818,5621.115542,37.088,1490,616,1049.263804,1209.493,1874,539,856.803681,450,978,253.0746421,303.0398773,40.6291527,30.94879838,111.002
CaseStudy2.czi,19,7096,2197,5705.4,37.088,1649,631,1070.155932,1209.493,2034,533,859.2146893,450,885,253.8983051,1348.535593,41.04708069,27.84249512,109.811
CaseStudy2.czi,20,6605,2173,5020.992579,37.088,1690,571,1037.040816,1209.493,3949,686,1375.209647,450,539,321.3450835,1939.191095,29.29281417,23.66417293,83.364
CaseStudy2.czi,21,6712,2703,5425.029703,37.088,1493,589,1009.633663,1209.493,2058,547,943.0424328,450,707,350.155587,44.66902405,32.84003018,27.49081744,92.461
CaseStudy2.czi,22,1745,90,335.2975175,37.088,7167,2331,5011.796548,1209.493,10856,1178,2973.534135,450,5156,404.2437936,989.0482933,102.4685285,64.50658999,266.251
CaseStudy2.czi,23,8233,1599,6416.799661,37.088,3871,537,1469.858535,1209.493,4689,553,1025.228717,450,2361,407.3710292,1038.759848,86.46983813,40.04467169,257.02
CaseStudy2.czi,24,6945,3297,5682.206857,37.088,1859,579,1080.501714,1209.493,2244,552,853.4548571,450,875,448.8342857,1698.038857,38.48737855,29.12705603,105.42
CaseStudy2.czi,25,6993,2623,5587.940887,37.088,2103,628,1171.582512,1209.493,3713,593,1043.508621,450,812,472.203202,805.9593596,37.96454262,27.28581045,100.441
CaseStudy2.czi,26,6864,2010,5529.435792,37.088,1916,662,1189.467213,1209.493,2390,572,982.6857923,450,732,476.6051913,1671.329235,33.55835056,27.99711239,98.018
CaseStudy2.czi,27,6815,1783,5485.474265,37.088,1628,570,1085.545956,1209.493,2304,621,980.2371324,450,544,479.3621324,1700.222426,27.8117423,25.38969838,85.39
CaseStudy2.czi,28,6570,2455,5216.289318,37.088,1572,563,1043.666172,1209.493,2952,655,1108.78635,450,674,495.7744807,1915.409496,33.02774195,26.07897007,90.774
CaseStudy2.czi,29,6994,2429,5483.889894,37.088,1654,605,1071.06184,1209.493,2398,643,1028.357466,450,663,500.6847662,2113.366516,33.55595996,25.38051952,92.585
CaseStudy2.czi,30,6911,2153,5494.634421,37.088,1776,591,1156.304837,1209.493,2591,575,991.4679415,450,889,557.9021372,1307.255343,43.19282234,26.85299193,114.997
CaseStudy2.czi,31,7349,3541,6133.96715,37.088,1796,592,1162.499517,1209.493,1412,463,707.9719807,450,1035,581.389372,1282.250242,42.66190076,31.47321889,119.901
CaseStudy2.czi,32,6550,2291,5225.170213,37.088,1536,568,1018.381342,1209.493,3149,614,1231.436989,450,611,590.0278232,678.1685761,30.94268756,25.48045864,88.946
CaseStudy2.czi,33,7269,2352,5678.690987,37.088,2117,586,1144.339056,1209.493,3390,537,1011.333333,450,699,599.1316166,1303.567954,35.73965459,25.26602102,96.026
CaseStudy2.czi,34,7099,2933,5782.449735,37.088,1860,580,1134.269841,1209.493,2710,560,894.3957672,450,945,644.5058201,862.7216931,45.20428817,26.67986232,112.218
CaseStudy2.czi,35,6732,2180,5166.045276,37.088,1737,614,1115.586614,1209.493,4046,558,1165.340551,450,508,684.5925197,585.0354331,30.10347671,21.84427157,83.157
CaseStudy2.czi,36,6703,2884,5287.915698,37.088,1482,575,1012.536337,1209.493,1658,631,942.5959302,450,688,686.7005814,2169.405523,32.73974963,26.90444918,92.478
CaseStudy2.czi,37,7273,3007,5702.111222,37.088,1905,584,1099.601202,1209.493,4358,520,1052.785571,450,998,685.7785571,551.0150301,45.14688965,28.21726369,115.129
CaseStudy2.czi,38,7408,2961,5949.008857,37.088,1779,588,1149.218778,1209.493,2096,563,884.6554473,450,1129,699.1984057,606.8892826,46.88166162,30.8229625,120.695
CaseStudy2.czi,39,146,80,112.6947368,37.088,6505,2406,4708.310121,1209.493,11294,1118,2957.068826,450,3705,723.8739541,79.98461538,85.93758357,55.07618871,225.405
CaseStudy2.czi,40,158,79,114.684353,37.088,6856,2408,4936.206551,1209.493,11731,1146,2902.808338,450,3694,715.0757986,1928.671359,84.63092653,55.81133901,222.213
CaseStudy2.czi,41,6881,2435,5373.254086,37.088,1757,608,1052.814264,1209.493,3095,572,1096.766716,450,673,703.9182764,296,33.10007836,25.99822056,91.187
CaseStudy2.czi,42,7210,3363,5754.875429,37.088,1695,640,1111.852571,1209.493,1912,558,896.424,450,875,723.2011429,1646.069714,39.69605325,28.12474886,104.42
CaseStudy2.czi,43,7144,2151,5510.152797,37.088,1920,644,1114.110505,1209.493,3838,650,1172.995907,450,733,729.3315143,1703.680764,35.45583486,26.37716586,95.091
CaseStudy2.czi,44,7404,2960,5862.620531,37.088,1665,551,1136.918108,1209.493,2517,560,986.2537486,450,867,766.7658593,1805.161476,38.96589805,28.40804941,104.064
CaseStudy2.czi,45,6621,2322,5233.734899,37.088,1472,553,1022.045302,1209.493,2137,656,986.0016779,450,596,766.3506711,2137.288591,29.65184845,25.81504121,86.994
CaseStudy2.czi,46,7099,2841,5562.988996,37.088,1571,645,1095.524072,1209.493,2474,629,984.303989,450,727,796.4209078,226.7675378,37.00293808,25.18848494,97.026
CaseStudy2.czi,47,6129,2358,5149.190068,37.088,1348,636,966.9366438,1209.493,2178,621,929.2277397,450,584,814.7071918,246.239726,30.14685295,24.89776706,86.622
CaseStudy2.czi,48,6595,2211,5134.198496,37.088,1752,676,1122.721805,1209.493,3866,619,1359.801504,450,665,843.1548872,240.2225564,33.65901917,25.45634331,92.759
